OEM,MODEL,BODY TYPE,PRICE IN LAKHS,YEAR,MONTH,SALE,SALE OUT OF
Datsun,Go,Hatchback,4.03,2020,1,88,1163
Datsun,Go Plus,MUV,4.26,2020,1,55,1163
Datsun,RediGo,Hatchback,3.98,2020,1,1020,1163
Honda,Amaze,Sedan,6.39,2020,1,3160,5239
Honda,City,Sedan,11.23,2020,1,1734,5239
Honda,Civic,Sedan,17.95,2020,1,146,5239
Honda,CRV,MUV,20,2020,1,37,5239
Honda,Jazz,Hatchback,7.72,2020,1,46,5239
Honda,WRV,SUV,8.83,2020,1,116,5239
Hyundai,Creta,SUV,10.22,2020,1,6900,42002
Hyundai,Elantra,Sedan,17.86,2020,1,63,42002
Hyundai,Elite i20,Hatchback,5.57,2020,1,8137,42002
Hyundai,Grand i10,Hatchback,5,2020,1,8774,42002
Hyundai,Kona,Electric,23,2020,1,39,42002
Hyundai,Santro,Hatchback,3.13,2020,1,3671,42002
Hyundai,Tucson,SUV,23,2020,1,37,42002
Hyundai,Venue,SUV,7,2020,1,6733,42002
Hyundai,Verna,Sedan,8,2020,1,957,42002
Hyundai,"Xcent, Aura",Sedan,6,2020,1,6691,42002
Jeep,Compass,SUV,17.79,2020,1,701,701
Jeep,Wrangler,SUV,56.33,2020,1,,701
Kia,Carnival,Van,25.48,2020,1,450,15450
Kia,Seltos,SUV,9.95,2020,1,15000,15450
Mahindra,Alturas G4,SUV,28.85,2020,1,68,19407
Mahindra,Bolero,SUV,8.99,2020,1,7233,19407
Mahindra,KUV100,SUV,6.19,2020,1,59,19407
Mahindra,Marazzo,SUV,12.79,2020,1,1267,19407
Mahindra,Scorpio,SUV,13.18,2020,1,5316,19407
Mahindra,Thar,SUV,13.17,2020,1,,19407
Mahindra,TUV300,SUV,15,2020,1,649,19407
Mahindra,"Verito, Vibe",Sedan,10,2020,1,,19407
Mahindra,XUV300,SUV,8.16,2020,1,3360,19407
Mahindra,XUV500,SUV,13,2020,1,1455,19407
Maruti Suzuki,Alto,Hatchback,3.25,2020,1,18914,139843
Maruti Suzuki,Baleno,Hatchback,6.03,2020,1,20485,139843
Maruti Suzuki,Celerio,Hatchback,5.14,2020,1,6236,139843
Maruti Suzuki,Ciaz,Sedan,8.67,2020,1,835,139843
Maruti Suzuki,Dzire,Sedan,6.09,2020,1,22406,139843
Maruti Suzuki,Eeco,Van,4.53,2020,1,12324,139843
Maruti Suzuki,Ertiga,MUV,8.11,2020,1,4997,139843
Maruti Suzuki,Gypsy,SUV,6.5,2020,1,,139843
Maruti Suzuki,Ignis,Hatchback,5.08,2020,1,,139843
